learner_0,learner_1,learner_2,learner_3,positive,learner_0-positive,learner_1-positive,learner_2-positive,learner_3-positive,h1,h2,h1-positive,h2-positive,count
0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,0,1,1,1,1,0,1,1,3,1,3,1,26
0,0,1,1,1,0,0,1,1,1,0,1,0,2
0,1,1,0,1,0,1,1,0,1,0,1,0,2
1,0,0,1,1,1,0,0,1,1,0,1,0,9
1,1,1,0,1,1,1,1,0,3,1,3,1,3
1,1,0,0,1,1,1,0,0,1,0,1,0,3
1,0,1,0,1,1,0,1,0,1,0,1,0,2
0,0,0,1,1,0,0,0,1,0,0,0,0,5
0,1,0,0,1,0,1,0,0,0,0,0,0,3
1,1,1,1,1,1,1,1,1,6,4,6,4,37
0,1,0,1,1,0,1,0,1,1,0,1,0,0
0,1,1,1,1,0,1,1,1,3,1,3,1,0
1,1,0,1,1,1,1,0,1,3,1,3,1,3
1,0,0,0,1,1,0,0,0,0,0,0,0,2
0,0,1,0,0,0,0,0,0,0,0,0,0,16
1,0,1,1,0,0,0,0,0,3,1,0,0,24
0,0,1,1,0,0,0,0,0,1,0,0,0,9
0,1,1,0,0,0,0,0,0,1,0,0,0,3
1,0,0,1,0,0,0,0,0,1,0,0,0,6
1,1,1,0,0,0,0,0,0,3,1,0,0,3
1,1,0,0,0,0,0,0,0,1,0,0,0,5
1,0,1,0,0,0,0,0,0,1,0,0,0,12
0,0,0,1,0,0,0,0,0,0,0,0,0,29
0,1,0,0,0,0,0,0,0,0,0,0,0,62
1,1,1,1,0,0,0,0,0,6,4,0,0,25
0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,1,1,1,0,0,0,0,0,3,1,0,0,2
1,1,0,1,0,0,0,0,0,3,1,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,13
